municipality;people;opacity
Академический;110459;0.4352652359973835
Алексеевский;80449;0.3170104108379897
Алтуфьевский;57601;0.22697754695122432
Арбат;36107;0.14228013902133393
Аэропорт;79413;0.3129280383333202
Бабушкинский;88607;0.3491571240552618
Басманный;110329;0.4347529691772995
Беговой;42634;0.16799987390355198
Бескудниковский;79607;0.31369249804944555
Бибирево;160248;0.6314594875755594
Бирюлёво Восточное;155196;0.6115520108442946
Бирюлёво Западное;88573;0.3490231465792398
Богородское;110044;0.4336299226871153
Братеево;109732;0.4324004823189137
Бутырский;71721;0.2826176046403493
Вешняки;121972;0.4806323736868237
Внуково;25764;0.10152340271264984
Внуковское;14431;0.05686555754332595
Войковский;70623;0.2782909202676397
Вороновское;9641;0.03799049548023044
Воскресенское;10104;0.039814953462529654
Восточное Дегунино;98923;0.3898074664859284
Восточное Измайлово;77931;0.3070881965843625
Восточный;13698;0.053977160780852254
Выхино-Жулебино;224783;0.8857605586072648
Гагаринский;81739;0.3220936738988234
Головинский;103508;0.40787472317889145
Гольяново;162886;0.6418545635092642
Даниловский;95236;0.3752787913655457
Десёновское;23524;0.09269665135120225
Дмитровский;93321;0.36773270705430816
Донской;51941;0.20467423770756657
Дорогомилово;76159;0.30010560577521733
Замоскворечье;58891;0.23206081001205797
Западное Дегунино;84273;0.33207893637646096
Зюзино;127696;0.5031878758265228
Зябликово;132973;0.5239819682079331
Ивановское;128085;0.5047207357727742
Измайлово;107768;0.42466131282164443
Капотня;33709;0.13283078644778426
Киевский;13843;0.05454853531094596
Клёновское;4246;0.016731422446743954
Кокошкино;19026;0.07497221937629545
Коньково;155862;0.614176393168725
Коптево;101885;0.4014792689558426
Косино-Ухтомский;81973;0.3230157541749746
Котловка;65724;0.25898634217847377
Краснопахорское;5398;0.021270894575488426
Красносельский;48509;0.19115039365734868
Крылатское;82771;0.3261602843474903
Крюково;102996;0.4058571800105606
Кузьминки;145812;0.5745742274622302
Кунцево;152004;0.5989738901542317
Куркино;34187;0.13471435214009314
Левобережный;54648;0.21534120910731597
Лефортово;95070;0.37462466604143846
Лианозово;85867;0.33836011569349106
Ломоносовский;88031;0.34688738799088953
Лосиноостровский;82937;0.3268144096715976
Люблино;172409;0.6793800783374183
Марушкинское;7709;0.030377422430981897
Марфино;35488;0.13984096085493392
Марьина Роща;67456;0.26581131242759304
Марьино;253774;1.0
Матушкино;40822;0.160859662534381
Метрогородок;38872;0.15317566023312082
Мещанский;61037;0.2405171530574448
Митино;195013;0.7684514568080261
Михайлово-Ярцевское;5776;0.022760408867732708
Можайский;139154;0.5483382852459274
Молжаниновский;12208;0.04810579491988935
Москворечье-Сабурово;80983;0.3191146453143348
Московский;63007;0.2482799656387179
"""Мосрентген""";20571;0.0810603135072939
Нагатино-Садовники;83462;0.32888317952193685
Нагатинский Затон;120586;0.475170821281928
Нагорный;81668;0.3218138974047775
Некрасовка;84217;0.33185826759242476
Нижегородский;45798;0.18046766020159669
Ново-Переделкино;100107;0.3944730350626936
Новогиреево;107839;0.42494108931569036
Новокосино;121561;0.4790128224325581
Новофёдоровское;7399;0.02915586309078156
Обручевский;87986;0.3467100648608604
Орехово-Борисово Северное;131577;0.5184810106630309
Орехово-Борисово Южное;147429;0.5809460386012751
Останкинский;63611;0.25066003609510823
Отрадное;185459;0.7308037860458518
Очаково-Матвеевское;130714;0.5150803470804731
Первомайское;9224;0.036347301141960955
Перово;140865;0.5550805047010332
Печатники;86313;0.34011758493777927
Покровское-Стрешнево;59389;0.2340231859843798
Преображенское;91151;0.3591817916729058
Пресненский;127694;0.5031799947985215
Проспект Вернадского;64431;0.2538912575756382
Раменки;142538;0.5616729846241144
Роговское;4107;0.016183691000654126
Ростокино;40108;0.15804613553791957
Рязановское;21703;0.08552097535602544
Рязанский;110184;0.4341815946472058
Савёлки;34683;0.13666884708441368
Савёловский;59611;0.23489798009252327
Свиблово;62899;0.24785439012664812
Северное Бутово;95642;0.3768786400498081
Северное Измайлово;87814;0.3460322964527493
Северное Медведково;127718;0.503274567134537
Северное Тушино;165736;0.6530850284111059
Северный;38529;0.15182406393089914
Силино;40266;0.15866873675002166
Сокол;60324;0.23770756657498404
Соколиная Гора;92015;0.36258639576946416
Сокольники;61245;0.24133677996957922
Солнцево;126958;0.5002797764940459
Сосенское;33418;0.1316840968735962
Старое Крюково;31406;0.12375578270429595
Строгино;161048;0.6346118987760764
Таганский;122898;0.48428128965142214
Тверской;77360;0.30483816308999345
Текстильщики;104921;0.4134426694618046
Тёплый Стан;134073;0.528316533608644
Тимирязевский;83641;0.3295885315280525
Троицк;61097;0.24075358389748358
Тропарёво-Никулино;123873;0.48812329080205225
Филёвский Парк;95106;0.3747665245454617
Фили-Давыдково;114953;0.4529739059162877
Филимонковское;8041;0.03168567307919645
Хамовники;108773;0.4286215293922939
Ховрино;88915;0.3503708023674608
Хорошёво-Мнёвники;175123;0.6900746333351723
Хорошёвский;72594;0.28605767336291343
Царицыно;128969;0.5082041501493455
Черёмушки;110659;0.43605333879751274
Чертаново Северное;114348;0.45058989494589674
Чертаново Центральное;116913;0.46069731335755437
Чертаново Южное;151601;0.5973858630119713
Щаповское;9584;0.037765886182193606
Щербинка;53974;0.2126853026708804
Щукино;111207;0.4382127404698669
Южное Бутово;210472;0.8293678627440163
Южное Медведково;85739;0.33785572990140833
Южное Тушино;109684;0.43221133764688263
Южнопортовый;74756;0.29457706463231065
Якиманка;27754;0.10936502557393586
Ярославский;98134;0.38669840093941854
Ясенево;178089;0.701762197861089
